gameId,creationTime,gameDuration,seasonId,winner,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,t1_towerKills,t1_inhibitorKills,t1_baronKills,t1_dragonKills,t1_riftHeraldKills,t2_towerKills,t2_inhibitorKills,t2_baronKills,t2_dragonKills,t2_riftHeraldKills
3326086514,1.50428E+12,1949,9,1,2,1,1,1,1,2,11,1,2,3,0,5,0,0,1,1
3229566029,1.49785E+12,1851,9,1,1,1,1,0,1,1,10,4,0,2,1,2,0,0,0,0
3327363504,1.50436E+12,1493,9,1,2,1,1,1,2,0,8,1,1,1,0,2,0,0,1,0
3326856598,1.50435E+12,1758,9,1,1,1,1,1,1,0,9,2,1,2,0,0,0,0,0,0
3330080762,1.50455E+12,2094,9,1,2,1,1,1,1,0,9,2,1,3,0,3,0,0,1,0
3287435705,1.50167E+12,2059,9,1,2,2,1,1,2,0,8,1,1,1,0,6,0,0,3,0
3314215542,1.50343E+12,1993,9,1,1,2,1,1,1,1,10,2,1,2,1,2,0,0,0,0
3329224025,1.50447E+12,1334,9,1,1,1,0,0,2,1,6,0,0,0,1,0,0,0,2,0
3318040883,1.50369E+12,1387,9,2,2,2,2,0,2,2,0,0,0,0,0,8,1,0,2,1
3327786881,1.50439E+12,2681,9,2,2,2,2,2,2,0,10,1,0,2,0,8,3,1,2,0
3325996400,1.50427E+12,1391,9,2,2,2,2,2,2,2,0,0,0,1,0,10,2,1,1,1
3284613292,1.50145E+12,1671,9,1,1,2,1,0,2,1,10,1,0,0,1,2,0,0,2,0
3321570535,1.50395E+12,2071,9,1,1,1,0,1,2,1,6,0,1,2,1,3,0,0,1,0
3323144943,1.50406E+12,1942,9,1,2,2,1,0,1,0,7,1,0,1,0,3,0,0,2,0
3329332855,1.50448E+12,2374,9,2,2,2,1,1,2,0,8,1,1,2,0,9,2,0,2,0
3322311228,1.50399E+12,1717,9,1,2,1,1,0,1,0,7,1,0,2,0,0,0,0,0,0
3316242660,1.50357E+12,2390,9,2,2,2,2,2,2,0,3,0,0,1,0,9,3,2,4,0
3330057565,1.50456E+12,1994,9,1,2,1,1,1,1,1,11,6,1,2,1,2,0,0,0,0
3318940474,1.50375E+12,1513,9,2,1,2,2,0,2,0,0,0,0,0,0,11,3,0,2,0
3320637674,1.50386E+12,1898,9,2,1,2,2,2,1,1,4,0,0,3,1,11,2,1,1,0
3295071448,1.50221E+12,2026,9,2,1,1,1,2,1,2,5,1,0,1,0,11,3,1,2,1
3321629795,1.50395E+12,1962,9,2,1,2,2,2,1,0,2,0,0,1,0,9,1,1,2,0
3289287394,1.50179E+12,1511,9,2,1,2,2,0,2,0,2,0,0,0,0,10,2,0,2,0
3315917080,1.50353E+12,1756,9,1,1,1,1,1,1,1,11,3,1,3,1,2,0,0,0,0
3319260786,1.50377E+12,2173,9,2,2,2,2,0,1,0,2,0,0,1,0,11,3,0,0,0
3287686351,1.50169E+12,2211,9,2,2,2,2,0,2,1,2,0,0,0,1,10,2,0,3,0
3327949154,1.5044E+12,2472,9,2,2,2,1,1,2,2,10,3,1,2,0,10,2,1,3,1
3329435919,1.50451E+12,1342,9,2,2,2,0,0,2,0,0,0,0,0,0,5,0,0,2,0
3328637035,1.50445E+12,2288,9,2,1,2,2,2,2,2,4,0,0,1,0,7,2,1,3,1
3261234207,1.49988E+12,1899,9,1,1,1,1,1,1,1,10,3,1,2,1,2,0,0,1,0
3327393480,1.50436E+12,1597,9,2,2,1,2,2,1,1,4,0,0,2,1,9,1,1,0,0
3291817645,1.50197E+12,1649,9,1,1,1,1,2,1,0,9,2,0,2,0,0,0,1,0,0
3323377026,1.5041E+12,1894,9,1,1,1,1,2,1,0,10,2,0,2,0,1,0,1,1,0
3317736423,1.50367E+12,2473,9,1,1,2,2,2,2,0,11,3,1,2,0,7,1,1,3,0
3330224197,1.50456E+12,2452,9,2,1,1,2,2,1,1,3,0,0,3,1,11,3,1,1,0
3308980402,1.50308E+12,1478,9,2,2,2,2,0,2,0,1,0,0,0,0,11,3,0,1,0
3246968903,1.49893E+12,1505,9,2,2,2,2,0,2,0,2,0,0,0,0,10,2,0,2,0
3322361630,1.504E+12,2112,9,1,1,1,1,0,1,0,10,2,0,2,0,0,0,0,1,0
3293632530,1.50211E+12,2054,9,1,2,1,1,0,1,0,10,2,0,4,0,3,0,0,0,0
3308987932,1.50308E+12,1349,9,1,2,1,1,0,1,1,8,1,0,2,1,0,0,0,0,0
3324519930,1.50418E+12,2309,9,2,2,1,2,2,1,2,5,0,0,3,0,10,1,2,1,1
3326242650,1.50429E+12,1329,9,2,2,2,2,0,2,2,0,0,0,0,0,11,3,0,1,1
3329416851,1.50451E+12,1800,9,1,2,1,1,1,1,1,8,1,1,2,1,4,0,0,1,0
3324363232,1.50413E+12,932,9,2,2,2,2,0,2,0,0,0,0,0,0,6,1,0,1,0
3322709332,1.50403E+12,2166,9,2,1,2,1,1,1,1,6,3,1,2,1,8,1,1,1,0
3255360088,1.49948E+12,1994,9,1,1,2,1,0,2,0,9,2,0,2,0,2,0,0,1,0
3327752527,1.50438E+12,2048,9,1,1,2,1,2,2,2,8,2,1,1,0,2,0,1,1,1
3311009322,1.50322E+12,1461,9,2,2,2,2,0,2,1,2,0,0,0,1,8,2,0,2,0
3321629027,1.50395E+12,2302,9,2,2,1,2,2,2,2,4,0,0,0,0,9,2,1,3,1
3299362032,1.50248E+12,2237,9,2,2,2,1,1,1,2,7,1,1,2,0,9,1,1,1,1
3325726219,1.50424E+12,2555,9,2,1,1,2,1,1,1,5,1,1,4,1,11,4,1,1,0
3321237376,1.50393E+12,1026,9,1,1,1,1,0,1,0,9,2,0,1,0,1,0,0,0,0
3321305647,1.50393E+12,1303,9,2,2,2,2,2,2,2,1,0,0,0,0,7,1,1,2,1
3329852632,1.50454E+12,1843,9,1,1,1,1,0,1,1,11,4,0,3,1,0,0,0,0,0
3329066143,1.50446E+12,1691,9,2,1,2,2,1,1,2,4,0,1,1,0,7,1,0,2,1
3330150647,1.50456E+12,1875,9,1,1,1,1,0,2,0,11,3,0,1,0,1,0,0,1,0
3330336673,1.50457E+12,1413,9,2,2,2,2,2,2,2,1,0,0,0,0,9,1,1,2,1
3265461788,1.50015E+12,1682,9,1,1,1,1,1,2,1,9,2,1,1,1,0,0,0,1,0
3323194067,1.50408E+12,1640,9,2,2,2,2,0,2,0,1,0,0,0,0,9,2,0,2,0
3327643001,1.50438E+12,1925,9,1,1,1,1,1,1,0,7,1,1,2,0,2,0,0,0,0
3325673769,1.50422E+12,1816,9,1,1,2,1,1,1,1,11,4,1,3,1,1,0,0,0,0
3256026885,1.49954E+12,1070,9,1,1,1,1,0,1,1,10,2,0,2,1,0,0,0,0,0
3311427599,1.50325E+12,1633,9,2,2,2,2,2,2,2,0,0,0,0,0,10,3,1,3,1
3282627547,1.50133E+12,2169,9,2,2,2,2,0,1,1,4,0,0,2,1,8,1,0,2,0
3258796399,1.49972E+12,197,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3328984872,1.50446E+12,1261,9,1,1,1,0,0,1,1,4,0,0,1,1,0,0,0,0,0
3325843025,1.50426E+12,2493,9,1,1,1,1,0,2,0,10,2,0,3,0,2,0,0,1,0
3325613900,1.50422E+12,2259,9,1,2,1,1,1,2,2,10,3,2,2,0,4,0,0,3,1
3323302726,1.50409E+12,1697,9,2,1,2,2,2,2,0,1,0,0,0,0,7,1,1,2,0
3280198998,1.50113E+12,1723,9,1,2,1,1,1,1,0,11,3,1,1,0,1,0,0,0,0
3325567495,1.50422E+12,1643,9,2,1,2,2,2,2,2,1,0,0,0,0,11,3,1,2,1
3310827613,1.50319E+12,2187,9,2,1,2,2,2,2,2,4,0,0,0,0,10,2,1,4,1
3287517913,1.50168E+12,1590,9,1,2,1,1,1,2,1,9,2,1,1,1,1,0,0,1,0
3329315051,1.50448E+12,1638,9,1,1,1,1,1,1,1,11,3,1,3,1,1,0,0,0,0
3263401061,1.49999E+12,2147,9,2,1,2,2,2,2,0,6,0,0,0,0,10,2,1,3,0
3327484989,1.50437E+12,1296,9,1,2,1,0,0,2,0,1,0,0,1,0,2,0,0,1,0
3330473044,1.50458E+12,2634,9,1,2,2,2,1,1,0,9,1,2,3,0,8,1,0,2,0
3306566368,1.50292E+12,963,9,1,1,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0
3234883677,1.49816E+12,2929,9,2,1,1,2,1,1,1,5,0,1,4,1,10,1,0,1,0
3272819198,1.50065E+12,2097,9,1,2,1,1,1,1,1,11,3,1,3,1,1,0,0,1,0
3326112788,1.50428E+12,2051,9,1,2,2,1,1,1,2,5,1,1,2,0,4,0,0,0,1
3329437618,1.50451E+12,1707,9,1,2,1,1,1,1,2,10,2,1,1,0,1,0,0,0,1
3330152268,1.50456E+12,193,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3277742106,1.501E+12,1934,9,2,2,2,2,2,2,2,0,0,0,0,0,8,2,1,3,1
3319437727,1.50378E+12,1451,9,1,1,1,0,0,2,0,3,0,0,0,0,1,0,0,1,0
3281365058,1.50124E+12,1257,9,2,2,2,2,0,1,0,2,0,0,1,0,5,1,0,1,0
3322626012,1.50402E+12,1789,9,1,2,1,1,1,2,0,7,1,1,1,0,2,0,0,2,0
3325976587,1.50427E+12,1311,9,1,1,1,0,0,1,0,4,0,0,2,0,0,0,0,0,0
3324255930,1.50413E+12,2218,9,2,1,1,2,1,1,0,5,0,1,3,0,9,1,1,2,0
3325663188,1.50422E+12,1469,9,1,2,1,1,1,1,0,7,1,1,1,0,1,0,0,0,0
3327487116,1.50437E+12,1543,9,2,1,2,2,2,2,2,2,0,0,0,0,11,3,1,3,1
3331653671,1.50469E+12,2149,9,1,1,1,1,0,1,1,11,3,0,4,1,1,0,0,0,0
3320571127,1.50386E+12,2050,9,1,1,1,1,1,2,0,11,4,1,1,0,3,0,0,2,0
3326233952,1.50429E+12,2131,9,2,2,2,2,2,1,0,3,0,0,2,0,9,1,1,1,0
3320571491,1.50386E+12,2039,9,2,2,1,2,2,1,1,3,0,0,2,1,11,3,1,1,0
3310530097,1.50317E+12,2600,9,1,2,2,1,1,1,2,5,2,2,4,0,3,0,0,0,1
3330689896,1.50461E+12,1761,9,1,1,1,1,1,2,0,9,1,1,2,0,0,0,0,2,0
3304939953,1.50282E+12,1534,9,1,1,1,1,0,1,1,10,2,0,3,1,0,0,0,0,0
3296306866,1.5023E+12,1226,9,2,1,2,2,0,2,2,0,0,0,0,0,9,3,0,2,1
3323496212,1.5041E+12,1873,9,2,1,2,2,2,2,0,0,0,0,0,0,11,4,1,3,0
3304030176,1.50275E+12,1695,9,1,1,1,1,2,2,0,10,2,0,1,0,5,0,1,1,0
3324925505,1.5042E+12,2243,9,1,1,1,2,1,1,0,8,1,1,3,0,6,1,0,0,0
3225725905,1.49763E+12,1604,9,1,1,1,1,1,2,1,10,2,1,1,1,0,0,0,2,0
3324239752,1.50413E+12,1861,9,2,2,2,2,2,2,0,3,0,0,1,0,8,1,1,1,0
3326047211,1.50428E+12,2280,9,1,1,1,1,1,1,2,10,3,2,4,0,5,0,0,0,1
3322398507,1.50401E+12,2372,9,2,1,1,2,2,2,1,4,0,0,0,1,10,3,2,4,0
3323959835,1.50411E+12,1810,9,1,2,2,0,1,2,0,3,0,1,1,0,5,0,0,1,0
3313277570,1.50335E+12,1725,9,2,1,2,2,0,2,0,1,0,0,0,0,8,2,0,2,0
3238320164,1.4984E+12,2615,9,2,1,1,2,2,2,0,7,0,0,1,0,7,1,1,2,0
3329961731,1.50455E+12,1923,9,1,2,1,1,1,2,0,11,3,1,2,0,2,0,0,1,0
3326343190,1.50429E+12,1233,9,1,1,1,1,0,1,0,7,1,0,2,0,0,0,0,0,0
3308713607,1.50307E+12,1771,9,1,2,1,1,1,1,0,6,1,1,3,0,3,0,0,0,0
3288402128,1.50171E+12,1161,9,1,1,1,1,0,1,0,7,1,0,1,0,0,0,0,0,0
3315759621,1.50352E+12,1660,9,1,1,1,1,1,1,0,10,1,1,2,0,1,0,0,0,0
3317001937,1.5036E+12,1760,9,2,1,1,2,2,1,1,2,0,0,1,1,8,1,1,2,0
3314035078,1.50342E+12,1906,9,1,1,2,1,1,1,1,11,3,2,4,1,2,0,0,0,0
3315934285,1.50353E+12,1289,9,2,2,2,0,0,2,0,0,0,0,0,0,8,0,0,2,0
3327839556,1.50439E+12,1522,9,1,2,1,1,1,1,0,8,2,1,2,0,1,0,0,0,0
3301879852,1.50264E+12,3288,9,2,2,1,1,1,2,1,7,2,3,2,1,6,2,0,4,0
3246799766,1.49892E+12,192,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3233469276,1.49808E+12,948,9,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3264123009,1.50006E+12,1500,9,2,1,2,2,2,2,1,2,0,0,0,1,9,2,1,2,0
3221218999,1.49734E+12,1324,9,2,2,2,2,0,2,2,1,0,0,0,0,8,2,0,2,1
3329172827,1.50447E+12,1861,9,1,1,1,1,1,1,1,7,1,1,3,1,4,0,0,1,0
3331509281,1.50466E+12,930,9,2,2,1,0,0,2,0,1,0,0,0,0,3,0,0,1,0
3327364299,1.50436E+12,2845,9,1,2,1,1,2,2,0,8,3,0,2,0,8,1,2,2,0
3329302998,1.50448E+12,2229,9,2,2,1,2,2,2,0,4,0,0,1,0,9,1,1,3,0
3308358422,1.50304E+12,2136,9,1,2,1,1,0,2,1,10,1,0,3,1,0,0,0,1,0
3322734650,1.50403E+12,1330,9,1,2,1,1,0,1,0,9,2,0,1,0,0,0,0,0,0
3321518451,1.50395E+12,1366,9,2,1,2,0,0,2,0,0,0,0,0,0,5,0,0,1,0
3327218687,1.50436E+12,1872,9,2,1,1,2,2,2,0,2,0,0,0,0,11,3,2,3,0
